iter	Passed	Remaining
403	7697	11356
404	7716	11336
405	7734	11316
406	7752	11295
407	7770	11274
408	7788	11254
409	7807	11234
410	7825	11215
411	7843	11193
412	7860	11172
413	7879	11153
414	7897	11132
415	7917	11114
416	7935	11094
417	7953	11073
418	7972	11054
419	7990	11034
420	8008	11014
421	8026	10993
422	8045	10973
423	8061	10952
424	8079	10930
425	8096	10909
426	8113	10888
427	8132	10869
428	8150	10848
429	8169	10828
430	8186	10808
431	8204	10787
432	8222	10767
433	8242	10749
434	8260	10729
435	8279	10709
436	8295	10687
437	8314	10667
438	8333	10649
439	8352	10630
440	8371	10610
441	8388	10590
442	8406	10569
443	8425	10550
444	8443	10530
445	8461	10510
446	8478	10488
447	8495	10467
448	8513	10448
449	8531	10427
450	8550	10408
451	8569	10389
452	8587	10369
453	8605	10349
454	8622	10328
455	8641	10308
456	8659	10288
457	8677	10269
458	8696	10249
459	8713	10228
460	8731	10208
461	8749	10189
462	8766	10167
463	8783	10146
464	8801	10126
465	8819	10107
466	8839	10088
467	8856	10067
468	8874	10047
469	8891	10026
470	8909	10007
471	8927	9987
472	8945	9966
473	8962	9945
474	8980	9925
475	8998	9906
476	9016	9886
477	9033	9865
478	9052	9845
479	9070	9826
480	9087	9805
481	9105	9785
482	9122	9764
483	9141	9746
484	9160	9726
485	9179	9708
486	9196	9687
487	9215	9668
488	9233	9648
489	9251	9629
490	9270	9610
491	9288	9591
492	9306	9570
493	9325	9552
494	9344	9532
495	9361	9512
496	9379	9492
497	9398	9474
498	9418	9455
499	9435	9435
500	9453	9415
501	9471	9396
502	9489	9375
503	9506	9355
504	9525	9336
505	9544	9317
506	9562	9298
507	9580	9278
508	9598	9259
509	9617	9240
510	9636	9221
511	9655	9202
512	9674	9183
513	9691	9163
514	9710	9145
515	9729	9125
516	9747	9106
517	9766	9087
518	9785	9069
519	9804	9050
520	9822	9030
521	9841	9011
522	9859	8992
523	9877	8972
524	9896	8954
525	9916	8935
526	9934	8916
527	9953	8897
528	9972	8879
529	9990	8859
530	10008	8839
531	10030	8824
532	10051	8806
533	10070	8787
534	10088	8768
535	10107	8749
536	10129	8733
537	10146	8713
538	10165	8694
539	10183	8674
540	10203	8656
541	10220	8636
542	10238	8616
543	10256	8597
544	10274	8578
545	10293	8558
546	10312	8539
547	10332	8522
548	10350	8502
549	10367	8482
550	10386	8463
551	10405	8445
552	10424	8426
553	10442	8406
554	10460	8387
555	10477	8366
556	10495	8347
557	10513	8328
558	10532	8308
559	10549	8289
560	10568	8270
561	10587	8251
562	10603	8230
563	10620	8210
564	10638	8190
565	10655	8170
566	10672	8150
567	10689	8130
568	10706	8109
569	10725	8090
570	10742	8070
571	10759	8050
572	10776	8030
573	10793	8010
574	10810	7990
575	10828	7970
576	10844	7950
577	10861	7930
578	10879	7910
579	10897	7891
580	10916	7872
581	10933	7852
582	10959	7838
583	10978	7820
584	10995	7800
585	11017	7783
586	11042	7769
587	11058	7748
588	11075	7728
589	11092	7708
590	11108	7687
591	11126	7667
592	11142	7647
593	11158	7626
594	11175	7607
595	11193	7587
596	11208	7566
597	11223	7544
598	11239	7524
599	11254	7503
600	11270	7482
601	11286	7461
602	11302	7440
603	11316	7419
604	11333	7399
605	11348	7378
606	11364	7358
607	11381	7338
608	11397	7317
609	11413	7297
610	11429	7276
611	11444	7255
612	11460	7235
613	11475	7214
614	11490	7193
615	11506	7173
616	11522	7152
617	11539	7132
618	11554	7112
619	11571	7092
620	11587	7071
621	11603	7051
622	11619	7031
623	11636	7011
624	11652	6991
625	11668	6971
626	11684	6950
627	11700	6930
628	11717	6911
629	11732	6890
630	11750	6871
631	11765	6850
632	11781	6830
633	11797	6810
634	11813	6790
635	11829	6770
636	11845	6750
637	11861	6730
638	11877	6709
639	11894	6690
640	11910	6670
641	11926	6650
642	11943	6631
643	11959	6611
644	11975	6591
645	11991	6571
646	12007	6551
647	12026	6532
648	12042	6512
649	12059	6493
650	12075	6473
651	12092	6454
652	12108	6434
653	12123	6414
654	12139	6394
655	12156	6374
656	12173	6355
657	12194	6338
658	12210	6318
659	12226	6298
660	12242	6278
661	12258	6258
662	12274	6239
663	12290	6219
664	12305	6199
665	12322	6179
666	12337	6159
667	12354	6140
668	12370	6120
669	12388	6101
670	12405	6082
671	12422	6063
672	12438	6043
673	12453	6023
674	12469	6003
675	12484	5983
676	12500	5964
677	12516	5944
678	12532	5924
679	12548	5905
680	12563	5885
681	12579	5865
682	12593	5845
683	12609	5825
684	12624	5805
685	12640	5785
686	12655	5765
687	12670	5746
688	12686	5726
689	12702	5706
690	12717	5686
691	12735	5668
692	12750	5648
693	12766	5628
694	12782	5609
695	12798	5590
696	12814	5570
697	12830	5551
698	12847	5532
699	12862	5512
700	12878	5493
701	12894	5473
702	12910	5454
703	12924	5434
704	12940	5414
705	12956	5395
706	12971	5375
707	12986	5355
708	13002	5336
709	13019	5317
710	13035	5298
711	13051	5279
712	13067	5260
713	13082	5240
714	13098	5221
715	13113	5201
716	13129	5182
717	13145	5163
718	13161	5143
719	13177	5124
720	13193	5105
721	13208	5085
722	13224	5066
723	13239	5047
724	13255	5027
725	13271	5008
726	13287	4989
727	13303	4970
728	13319	4951
729	13334	4931
730	13349	4912
731	13365	4893
732	13397	4880
733	13420	4863
734	13435	4844
735	13450	4824
736	13466	4805
737	13481	4786
738	13496	4766
739	13512	4747
740	13527	4728
741	13543	4709
742	13558	4689
743	13573	4670
744	13591	4651
745	13606	4632
746	13620	4613
747	13637	4594
748	13652	4575
749	13668	4556
750	13683	4536
751	13699	4517
752	13715	4498
753	13731	4479
754	13746	4460
755	13762	4441
756	13778	4422
757	13793	4403
758	13809	4384
759	13825	4365
760	13841	4346
761	13855	4327
762	13872	4309
763	13891	4290
764	13907	4272
765	13922	4252
766	13937	4233
767	13953	4215
768	13968	4195
769	13983	4177
770	14002	4159
771	14018	4140
772	14032	4120
773	14051	4102
774	14068	4084
775	14083	4065
776	14098	4046
777	14113	4027
778	14128	4008
779	14143	3989
780	14160	3970
781	14175	3951
782	14191	3932
783	14207	3914
784	14221	3895
785	14237	3876
786	14252	3857
787	14269	3838
788	14285	3820
789	14300	3801
790	14315	3782
791	14330	3763
792	14345	3744
793	14361	3726
794	14377	3707
795	14394	3689
796	14410	3670
797	14426	3651
798	14441	3632
799	14456	3614
800	14471	3595
801	14486	3576
802	14502	3557
803	14519	3539
804	14535	3520
805	14550	3502
806	14566	3483
807	14581	3464
808	14597	3446
809	14612	3427
810	14627	3408
811	14644	3390
812	14659	3371
813	14675	3353
814	14690	3334
815	14706	3316
816	14723	3297
817	14739	3279
818	14755	3260
819	14771	3242
820	14786	3223
821	14802	3205
822	14817	3186
823	14833	3168
824	14848	3149
825	14864	3131
826	14880	3112
827	14895	3094
828	14910	3075
829	14926	3057
830	14940	3038
831	14956	3020
832	14972	3001
833	14988	2983
834	15003	2964
835	15018	2946
836	15035	2928
837	15051	2909
838	15068	2891
839	15083	2873
840	15099	2854
841	15113	2836
842	15129	2817
843	15144	2799
844	15159	2780
845	15176	2762
846	15191	2744
847	15205	2725
848	15221	2707
849	15237	2688
850	15251	2670
851	15267	2652
852	15283	2633
853	15299	2615
854	15315	2597
855	15331	2579
856	15347	2560
857	15364	2542
858	15380	2524
859	15396	2506
860	15411	2488
861	15427	2469
862	15443	2451
863	15457	2433
864	15473	2414
865	15489	2396
866	15506	2378
867	15522	2360
868	15539	2342
869	15555	2324
870	15571	2306
871	15588	2288
872	15604	2270
873	15620	2251
874	15636	2233
875	15653	2215
876	15668	2197
877	15684	2179
878	15701	2161
879	15717	2143
880	15734	2125
881	15750	2107
882	15766	2089
883	15782	2070
884	15798	2052
885	15815	2034
886	15832	2017
887	15850	1999
888	15868	1981
889	15883	1963
890	15899	1945
891	15915	1926
892	15931	1908
893	15946	1890
894	15963	1872
895	15980	1854
896	15997	1836
897	16012	1818
898	16029	1800
899	16045	1782
900	16061	1764
901	16078	1746
902	16095	1728
903	16111	1710
904	16127	1692
905	16143	1674
906	16159	1656
907	16175	1638
908	16193	1621
909	16207	1602
910	16223	1584
911	16241	1567
912	16259	1549
913	16279	1531
914	16296	1513
915	16311	1495
916	16327	1477
917	16342	1459
918	16359	1441
919	16374	1423
920	16390	1405
921	16406	1387
922	16422	1370
923	16438	1352
924	16454	1334
925	16470	1316
926	16486	1298
927	16502	1280
928	16519	1262
929	16534	1244
930	16550	1226
931	16565	1208
932	16581	1190
933	16597	1172
934	16612	1154
935	16628	1136
936	16644	1119
937	16660	1101
938	16675	1083
939	16692	1065
940	16707	1047
941	16724	1029
942	16740	1011
943	16756	994
944	16772	976
945	16788	958
946	16805	940
947	16820	922
948	16836	904
949	16854	887
950	16869	869
951	16885	851
952	16901	833
953	16917	815
954	16932	797
955	16947	780
956	16963	762
957	16979	744
958	16994	726
959	17009	708
960	17025	690
961	17040	673
962	17056	655
963	17074	637
964	17089	619
965	17104	602
966	17120	584
967	17135	566
968	17151	548
969	17168	530
970	17182	513
971	17199	495
972	17214	477
973	17230	459
974	17245	442
975	17260	424
976	17275	406
977	17291	388
978	17306	371
979	17322	353
980	17338	335
981	17354	318
982	17370	300
983	17385	282
984	17401	264
985	17418	247
986	17435	229
987	17450	211
988	17466	194
989	17482	176
990	17498	158
991	17513	141
992	17530	123
993	17545	105
994	17560	88
995	17577	70
996	17593	52
997	17609	35
998	17623	17
999	17641	0
