iter	MultiClass
0	2.56749869
1	2.141394171
2	1.859716617
3	1.631603213
4	1.432693557
5	1.295271512
6	1.160006221
7	1.054528778
8	0.9581473261
9	0.8806737861
10	0.8070772668
11	0.7494094996
12	0.6932558603
13	0.6410593308
14	0.5972763684
15	0.5519672032
16	0.5130389494
17	0.4808665981
18	0.4495596945
19	0.4219087879
20	0.3968433775
21	0.3720917835
22	0.3504021234
23	0.3288781391
24	0.309639689
25	0.2923338787
26	0.2764056892
27	0.2610598928
28	0.2473360196
29	0.2347080882
30	0.2221806205
31	0.2105569423
32	0.2013893668
33	0.1919009909
34	0.1823654329
35	0.1730123462
36	0.165470287
37	0.1579113412
38	0.1518360117
39	0.1450780452
40	0.139254543
41	0.1334491315
42	0.1277010919
43	0.1226487302
44	0.1174696159
45	0.1133516689
46	0.1085975025
47	0.1039956883
48	0.1002361199
49	0.09683302861
50	0.09366305369
51	0.09024052692
52	0.08703744497
53	0.0841984309
54	0.08146859575
55	0.07896349054
56	0.07647081999
57	0.07405913613
58	0.07163201813
59	0.0694705666
60	0.06718818838
61	0.06515742838
62	0.06324148498
63	0.06158835249
64	0.05985788837
65	0.05826166915
66	0.05677372961
67	0.05520979668
68	0.05364632743
69	0.05229581529
70	0.05099740132
71	0.04974914185
72	0.04855683261
73	0.04746282902
74	0.0462967082
75	0.04520687774
76	0.04421583772
77	0.0430881505
78	0.0422752995
79	0.04144002788
80	0.04062343797
81	0.03973681528
82	0.03892413399
83	0.03814163516
84	0.03732637688
85	0.03646800848
86	0.03565526009
87	0.03495713787
88	0.03415665016
89	0.03352353325
90	0.032962625
91	0.03231321161
92	0.03175722919
93	0.03120594816
94	0.03063170375
95	0.03017374818
96	0.02963215872
97	0.02911586163
98	0.02864572449
99	0.02816453913
100	0.02769940697
101	0.02718629283
102	0.02676083552
103	0.02633857989
104	0.02589732388
105	0.02541690145
106	0.02501864388
107	0.02459350801
108	0.02422951447
109	0.02385014511
110	0.02346106303
111	0.02316799434
112	0.02284841221
113	0.0225121492
114	0.02220611093
115	0.02186753087
116	0.02158267356
117	0.02128973013
118	0.02098253267
119	0.02071091243
120	0.0204411849
121	0.02015749406
122	0.01988968079
123	0.01962938283
