iter	MultiClass
0	2.117930489
1	1.781416777
2	1.53062942
3	1.347228646
4	1.193555465
5	1.074251929
6	0.9678517246
7	0.8820495851
8	0.8040255547
9	0.73659155
10	0.6782610473
11	0.6241008162
12	0.5758867037
13	0.5340332395
14	0.4963288905
15	0.4626852832
16	0.4295109001
17	0.4019514241
18	0.3754991271
19	0.3514920332
20	0.3286829082
21	0.3095138156
22	0.2917537489
23	0.275262767
24	0.2596363872
25	0.2448526713
26	0.2307509039
27	0.2202379753
28	0.2077460717
29	0.1957715344
30	0.1855872745
31	0.1759662348
32	0.1673988794
33	0.1594871538
34	0.1515904399
35	0.144794067
36	0.1382619256
37	0.1316374389
38	0.1264019568
39	0.1214241504
40	0.1163335342
41	0.1117303341
42	0.1066885456
43	0.1022909663
44	0.0979605917
45	0.09418244296
46	0.09056127685
47	0.08670284276
48	0.0837208864
49	0.08094209955
50	0.07768808427
51	0.07481636371
52	0.07216030321
53	0.06962618688
54	0.06745595001
55	0.06545123585
56	0.06343877166
57	0.06166767318
58	0.05948732779
59	0.05750943827
60	0.0558004761
61	0.05415299116
62	0.05252180398
63	0.05102847481
64	0.04972573939
65	0.04838759979
66	0.0472077167
67	0.04594417372
68	0.0448965145
69	0.04386004803
70	0.04286788464
71	0.04180376744
72	0.04075028825
73	0.03982588733
74	0.03894107469
75	0.03814273106
76	0.03735129502
77	0.03649161944
78	0.03564386646
79	0.0348293344
80	0.03414222934
81	0.03339298721
82	0.03262383981
83	0.03189912765
84	0.03124174675
85	0.03053039738
86	0.02981573205
87	0.02922611802
88	0.02869603723
89	0.02808979031
90	0.02753066984
91	0.02705962774
92	0.0265476633
93	0.0259760129
94	0.02560392974
95	0.02523860267
96	0.02490633257
97	0.02446595809
98	0.02401779066
99	0.02359902179
100	0.02318296276
101	0.02277009222
102	0.02238920237
103	0.02198899295
104	0.0217015337
105	0.02138975487
106	0.02112824418
107	0.0207868285
108	0.02044074077
109	0.02011332759
110	0.0198375765
111	0.01954806078
112	0.01926599357
113	0.01896413444
114	0.01871790487
115	0.01845763557
116	0.01817292256
117	0.01792470062
118	0.01768383375
119	0.01743960641
120	0.01723067185
121	0.01699605351
122	0.01681865716
123	0.01660979968
124	0.01640634749
125	0.01622030662
126	0.0159953638
127	0.01581553964
128	0.01562925739
129	0.01544365384
130	0.01530165111
131	0.01506749552
132	0.01494279065
133	0.01476401617
134	0.01457597948
135	0.0144166602
136	0.01426532791
137	0.01408386609
138	0.01392930145
139	0.01379854508
140	0.01363689185
141	0.01348753184
142	0.01333914708
143	0.01322060846
144	0.01310831853
145	0.01299502372
146	0.01284039364
147	0.01272209645
148	0.0126034632
149	0.0124697727
150	0.01235339094
151	0.0122279231
152	0.01211560389
153	0.011998785
154	0.01188716093
155	0.01176113878
156	0.01165667854
157	0.01154653004
158	0.01145619451
159	0.01136029158
160	0.01124280307
161	0.01115203164
162	0.01105285094
163	0.01096159701
164	0.01087229678
165	0.01079461023
166	0.01070986727
167	0.01061422412
168	0.01050533558
169	0.01041276291
170	0.01032865949
171	0.0102350015
172	0.0101583408
173	0.01008097381
174	0.01000111747
175	0.009935843886
176	0.009865534512
177	0.009799756869
178	0.009741708529
179	0.009670644843
180	0.009605327345
181	0.009529374298
182	0.009464742512
183	0.009400531081
184	0.009342458519
185	0.00925819454
186	0.009202045676
187	0.009142182675
188	0.009073233404
189	0.009014015467
190	0.008952450985
191	0.008887448735
192	0.008833398525
193	0.008774935096
194	0.00871391322
195	0.008644141777
196	0.008601002611
197	0.008555339821
198	0.008492660295
199	0.00843580405
200	0.008368826003
201	0.008318623014
202	0.008260177865
203	0.008204734913
204	0.00815317327
205	0.008102701583
206	0.00804126545
207	0.007998283042
208	0.007955901389
209	0.007925135633
210	0.00787937246
211	0.007833012326
212	0.007785246756
213	0.007734277741
214	0.007693870688
215	0.007646074478
216	0.007599990002
217	0.007558678862
218	0.007512026983
219	0.007465374581
220	0.007422469679
221	0.007376068935
222	0.007336595864
223	0.007300023501
224	0.007257999872
225	0.007217602765
226	0.007174929339
227	0.007135367019
228	0.007092576563
229	0.007054352536
230	0.007013551133
231	0.006982777408
232	0.006944313087
233	0.006913506891
234	0.006872600545
235	0.006840353008
236	0.006809045286
237	0.006774947489
238	0.006737330954
239	0.006699871398
240	0.006657365001
241	0.006624877813
242	0.006588781049
243	0.006562430282
244	0.006530886412
245	0.006499458894
246	0.006476046434
247	0.006451198084
248	0.006415043536
249	0.006382440515
250	0.006355933056
251	0.006329480527
252	0.006298837404
253	0.006270576854
254	0.006247124592
255	0.006214360277
256	0.006188597962
257	0.006146308185
258	0.006122019252
259	0.006097656162
260	0.006067543314
261	0.006046505578
262	0.006024357946
263	0.005998186951
264	0.005977687459
265	0.005954654168
266	0.005928427805
267	0.005898736473
268	0.005879570072
269	0.005858146273
270	0.005835373739
271	0.005817842172
272	0.005801853125
273	0.005786321026
274	0.005759269902
275	0.005734210864
276	0.005702048453
277	0.005677713377
278	0.005656491562
279	0.005615210138
280	0.0055936858
281	0.005564116087
282	0.005553056161
283	0.005529784551
284	0.00551358734
285	0.005498383844
286	0.005475460836
287	0.00544972239
288	0.005415004037
289	0.005394325292
290	0.005373439017
291	0.005349220451
292	0.005325392836
293	0.005303216125
294	0.005281000495
295	0.005259418659
296	0.005234238504
297	0.005212342808
298	0.005193629463
299	0.005174375938
300	0.005153883688
301	0.005133623273
302	0.005109050945
303	0.00508465474
304	0.005065132154
305	0.005045185512
306	0.005028584451
307	0.005004438673
308	0.004976054891
309	0.004954716004
310	0.004937946883
